ID,CALLE,ALT PLANO,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,L_SENTIDO,CATEGORIA
"2245",CNEL. NICETO VEGA AV.,"4656",-58.4293593,-34.5936582,"14",PALERMO,"140",V,,,,,,,,,,,140-San Nicolas (CABA),OFICIAL
"2249",HONDURAS,"5289",-58.4326449,-34.5869878,"14",PALERMO,"39",I,,,,,,,,,,,39-Chacarita (CABA),OFICIAL
"2250",COSTA RICA,"4802",-58.4283833,-34.5873168,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2251",COSTA RICA,"4604",-58.4264099,-34.5886359,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2252",COSTA RICA,"4414",-58.4242491,-34.5900902,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2253",COSTA RICA,"4208",-58.4226679,-34.5913125,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2254",COSTA RICA,"4010",-58.4193957,-34.5916134,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2255",JERONIMO SALGUERO,"1697",-58.4170529,-34.5905328,"14",PALERMO,"39",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2256",JOSE LEON CABEZON,"3091",-58.5077369,-34.5844499,"12",VILLA PUEYRREDON,"90",I,,,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"2257",JOSE LEON CABEZON,"3299",-58.5103081,-34.5860321,"12",VILLA PUEYRREDON,"90",I,,,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"2258",JOSE LEON CABEZON,"2897",-58.5051233,-34.5828321,"12",VILLA PUEYRREDON,"90",I,,,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"2259",ESTADO PLURINACIONAL DE BOLIVIA,"5027",-58.5016503,-34.5809714,"12",VILLA PUEYRREDON,"90",I,,,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"2260",GRIVEO,"2887",-58.5035103,-34.5843695,"12",VILLA PUEYRREDON,"107",V,,,,,,,,,,,107-Parque Avellaneda (CABA),OFICIAL
"2261",GRIVEO,"3093",-58.5061886,-34.5860273,"12",VILLA PUEYRREDON,"107",V,,,,,,,,,,,107-Parque Avellaneda (CABA),OFICIAL
"2262",LADINES,"3314",-58.5099757,-34.5871342,"11",VILLA DEVOTO,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2263",LADINES,"3126",-58.5072798,-34.5854744,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2264",LADINES,"2912",-58.5046741,-34.5838623,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2265",LADINES,"2712",-58.5024176,-34.582461,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2266",LADINES,"2514",-58.5001031,-34.5810259,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2267",GRAL. JOSE GERVASIO ARTIGAS,"4916",-58.4994912,-34.5815638,"12",VILLA PUEYRREDON,"110",V,"90",V,,,,,,,,,110-Recoleta (CABA),OFICIAL
"2268",GRAL. JOSE GERVASIO ARTIGAS,"4716",-58.4979472,-34.5832427,"12",VILLA PUEYRREDON,"110",V,,,,,,,,,,,110-Recoleta (CABA),OFICIAL
"2269",GRAL. MOSCONI AV.,"2412",-58.4966609,-34.5829677,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2270",LLERENA,"3197",-58.4810777,-34.5901954,"15",PARQUE CHAS,"111",I,,,,,,,,,,,"111-General San Martín (General San Martín), Paternal (CABA), Saavedra (CABA), Villa Pueyrredon (CABA), Villa Urquiza (CABA)",OFICIAL
