ID,CALLE,ALT PLANO,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,L_SENTIDO,CATEGORIA
"1",DEFENSA,"1524",-58.3709946,-34.6256588,"1",SAN TELMO,"22",V,"53",I,,,,,,,,,"22-Retiro (CABA)|53-El Palomar (Mor�n), Flores (CABA), Jos� C. Paz (Jos� C. Paz), San Miguel (San Miguel)",OFICIAL
"2",DEFENSA,"1528",-58.3709994,-34.6257106,"1",SAN TELMO,"29",I,"24",V,,,,,,,,,"29-Belgrano (CABA), Nu�ez (CABA), Olivos (Vicente L�pez), Saavedra (CABA)",OFICIAL
"3",BARTOLOME MITRE,"906",-58.3796587,-34.6072156,"1",SAN NICOLAS,"105",V,,,,,,,,,,,105-San Nicolas (CABA),OFICIAL
"4",REGIMIENTO DE PATRICIOS AV.,"51",-58.3706639,-34.6302258,"4",BARRACAS,"93",I,"70",V,"74",I,,,,,,,93-Pi�eyro (Avellaneda),OFICIAL
"8",REGIMIENTO DE PATRICIOS AV.,"389",-58.3703604,-34.6334097,"4",BARRACAS,"10",I,"22",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|22-Quilmes (Quilmes)",OFICIAL
"9",REGIMIENTO DE PATRICIOS AV.,"435",-58.3702771,-34.6340118,"4",BARRACAS,"24",i,"46",V,,,,,,,,,24-Wilde (Avellaneda)|46-Boca (CABA),OFICIAL
"10",REGIMIENTO DE PATRICIOS AV.,"471",-58.3702328,-34.6342993,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"11",BARTOLOME MITRE,"1464",-58.38715257,-34.60775698,"1",SAN NICOLAS,"105",V,"98",I,,,,,,,,,105-San Nicolas (CABA),OFICIAL
"12",REGIMIENTO DE PATRICIOS AV.,"673",-58.3699335,-34.6361996,"4",BARRACAS,"70",V,"74",I,,,,,,,,,"70-Barracas (CABA), Valent�n Alsina (Lan�s)|74-Burzaco (Almirante Brown)",OFICIAL
"13",BARTOLOME MITRE,"1444",-58.38690677,-34.60774163,"1",SAN NICOLAS,"5",I,"7",V,,,,,,,,,"5-Recoleta (CABA), Retiro (CABA)|7-Retiro (CABA)",OFICIAL
"14",REGIMIENTO DE PATRICIOS AV.,"717",-58.3698545,-34.6367229,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"17",REGIMIENTO DE PATRICIOS AV.,"761",-58.3698136,-34.6369873,"4",BARRACAS,"10",I,"24",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|24-Wilde (Avellaneda)",OFICIAL
"18",REGIMIENTO DE PATRICIOS AV.,"787",-58.3697851,-34.637171,"4",BARRACAS,"22",I,"46",V,,,,,,,,,22-Quilmes (Quilmes)|46-Boca (CABA),OFICIAL
"19",BARTOLOME MITRE,"1608",-58.3894206,-34.60790029,"1",SAN NICOLAS,"5",I,"7",V,,,,,,,,,"5-Recoleta (CABA), Retiro (CABA)|7-Retiro (CABA)",OFICIAL
"20",BARTOLOME MITRE,"1682",-58.39033209,-34.60794204,"1",SAN NICOLAS,"98",I,"105",V,,,,,,,,,"98-Quilmes (Quilmes), Villa Espa�a (Berazategui), Wilde (Avellaneda)|105-San Nicolas (CABA)",OFICIAL
"22",RIVADAVIA AV.,"1581",-58.3887206,-34.6089946,"1",SAN NICOLAS,"60",I,,,,,,,,,,,"60-Bel�n de Escobar (Escobar), Rinc�n de Milberg (Tigre), San Isidro (San Isidro)",OFICIAL
"23",BOLIVAR,"1515",-58.3726637,-34.6257245,"1",SAN TELMO,"24",I,"29",V,,,,,,,,,"24-Wilde (Avellaneda)|29-Boca (CABA), San Nicolas (CABA)",OFICIAL
"24",RIVADAVIA AV.,"1635",-58.3895865,-34.6090372,"1",SAN NICOLAS,"90",I,,,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"25",RIVADAVIA AV.,"1655",-58.3898883,-34.6090641,"1",SAN NICOLAS,"98",V,"151",I,"105",,,,,,,,98-Balvanera (CABA)|151-Vicente L�pez (Vicente L�pez),OFICIAL
"26",RIVADAVIA AV.,"1665",-58.3900789,-34.6090775,"1",SAN NICOLAS,"8",I,"86",I,,,,,,,,,"8-Aeropuerto Internacional Ezeiza (Ezeiza), Liniers (CABA), Tapiales (La Matanza)|86-Aeropuerto Internacional Ezeiza (Ezeiza), Gonz�lez Cat�n (La Matanza), Gregorio de Laferrere (La Matanza), Liniers (CABA), Tapiales (La Matanza)",OFICIAL
"27",BOLIVAR,"1589",-58.3726104,-34.6265167,"1",SAN TELMO,"22",I,,,,,,,,,,,22-Quilmes (Quilmes),OFICIAL
"28",RIVADAVIA AV.,"1719",-58.3909525,-34.6091327,"1",SAN NICOLAS,"56",I,"64",I,,,,,,,,,"56-Ciudad Evita (La Matanza), Flores (CABA), Tapiales (La Matanza)|64-Belgrano (CABA)",OFICIAL
"29",RIVADAVIA AV.,"1775",-58.3915424,-34.6091742,"1",SAN NICOLAS,"5",V,"7",I,,,,,,,,,"5-Velez Sarsfield (CABA), Villa Lugano (CABA)|7-Parque Avellaneda (CABA), Villa Lugano (CABA)",OFICIAL
"30",REGIMIENTO DE PATRICIOS AV.,"1125",-58.3692334,-34.6407253,"4",BARRACAS,"24",I,"70",V,,,,,,,,,"24-Wilde (Avellaneda)|70-Barracas (CABA), Valent�n Alsina (Lan�s)",OFICIAL
"31",REGIMIENTO DE PATRICIOS AV.,"1151",-58.3692168,-34.6408335,"4",BARRACAS,"10",I,"74",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|74-Burzaco (Almirante Brown)",OFICIAL
"32",REGIMIENTO DE PATRICIOS AV.,"1175",-58.3692015,-34.6409333,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"33",CALLAO AV.,"131",-58.3919606,-34.6075947,"1",SAN NICOLAS,"12",I,,,,,,,,,,,12-Palermo (CABA),OFICIAL
"34",CALLAO AV.,"157",-58.3919813,-34.6073075,"1",SAN NICOLAS,"37",V,,,,,,,,,,,"37-Belgrano (CABA), Palermo (CABA)",OFICIAL
"35",REGIMIENTO DE PATRICIOS AV.,"1353",-58.3689501,-34.6426194,"4",BARRACAS,"33",I,,,,,,,,,,,"33-Avellaneda (Avellaneda), San Jos� (Almirante Brown)",OFICIAL
"36",REGIMIENTO DE PATRICIOS AV.,"1439",-58.3688552,-34.6432637,"4",BARRACAS,"24",I,"70",V,,,,,,,,,"24-Wilde (Avellaneda)|70-Barracas (CABA), Valent�n Alsina (Lan�s)",OFICIAL
"37",CALLAO AV.,"323",-58.3921162,-34.6053942,"1",SAN NICOLAS,"60",I,,,,,,,,,,,"60-Bel�n de Escobar (Escobar), Rinc�n de Milberg (Tigre), San Isidro (San Isidro)",OFICIAL
"38",REGIMIENTO DE PATRICIOS AV.,"1471",-58.3688177,-34.6435163,"4",BARRACAS,"10",I,"74",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|74-Burzaco (Almirante Brown)",OFICIAL
"39",REGIMIENTO DE PATRICIOS AV.,"1487",-58.3687967,-34.6436638,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"40",CALLAO AV.,"339",-58.3921326,-34.6051805,"1",SAN NICOLAS,"150",V,,,,,,,,,,,150-Retiro (CABA),OFICIAL
"41",CALLAO AV.,"353",-58.3921513,-34.6049376,"1",SAN NICOLAS,"50",V,,,,,,,,,,,50-Retiro (CABA),OFICIAL
"42",CALLAO AV.,"377",-58.3921708,-34.6046837,"1",SAN NICOLAS,"6",V,,,,,,,,,,,6-Retiro (CABA),OFICIAL
"43",CALLAO AV.,"445",-58.3922218,-34.6040758,"1",BARRACAS,"12",I,,,,,,,,,,,12-Palermo (CABA),OFICIAL
"44",REGIMIENTO DE PATRICIOS AV.,"1569",-58.3686912,-34.6443683,"4",SAN NICOLAS,"20",I,,,,,,,,,,,20-Luis Guill�n (Esteban Echeverr�a),OFICIAL
"45",CALLAO AV.,"473",-58.392256,-34.6036411,"1",SAN NICOLAS,"37",V,,,,,,,,,,,"37-Belgrano (CABA), Palermo (CABA)",OFICIAL
"47",REGIMIENTO DE PATRICIOS AV.,"1747",-58.368446,-34.6460503,"4",BARRACAS,"33",I,"70",V,,,,,,,,,"33-Avellaneda (Avellaneda), San Jos� (Almirante Brown)|70-Barracas (CABA), Valent�n Alsina (Lan�s)",OFICIAL
"49",REGIMIENTO DE PATRICIOS AV.,"1825",-58.3683417,-34.6467662,"4",BARRACAS,"10",I,"24",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|24-Wilde (Avellaneda)",OFICIAL
"50",REGIMIENTO DE PATRICIOS AV.,"1845",-58.3682974,-34.6470634,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"52",REGIMIENTO DE PATRICIOS AV.,"1857",-58.3682902,-34.6471116,"4",BARRACAS,"20",I,"74",I,,,,,,,,,20-Luis Guill�n (Esteban Echeverr�a)|74-Burzaco (Almirante Brown),OFICIAL
"53",CALLAO AV.,"717",-58.3927025,-34.6005557,"1",SAN NICOLAS,"37",V,,,,,,,,,,,"37-Belgrano (CABA), Palermo (CABA)",OFICIAL
"54",CALLAO AV.,"745",-58.392732,-34.6003471,"1",SAN NICOLAS,"150",V,,,,,,,,,,,150-Retiro (CABA),OFICIAL
"55",CALLAO AV.,"769",-58.3927496,-34.6002225,"1",SAN NICOLAS,"124",V,,,,,,,,,,,124-Recoleta (CABA),OFICIAL
"56",CALLAO AV.,"777",-58.3927794,-34.6000115,"1",SAN NICOLAS,"12",I,,,,,,,,,,,12-Palermo (CABA),OFICIAL
"57",REGIMIENTO DE PATRICIOS AV.,"1880",-58.3680575,-34.6476058,"4",LA BOCA,"39",I,"93",V,,,,,,,,,"39-Chacarita (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"59",CORDOBA AV.,"1749",-58.3921475,-34.5995123,"2",RECOLETA,"132",V,,,,,,,,,,,"132-Balvanera (CABA), Flores (CABA)",OFICIAL
"60",REGIMIENTO DE PATRICIOS AV.,"1560",-58.3685247,-34.6444316,"4",LA BOCA,"39",I,"93",V,,,,,,,,,"39-Chacarita (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"61",REGIMIENTO DE PATRICIOS AV.,"1516",-58.3685811,-34.6440705,"4",LA BOCA,"33",V,"74",V,,,,,,,,,"33-Belgrano (CABA), Recoleta (CABA), Retiro (CABA)|74-Puerto Madero (CABA), San Nicolas (CABA)",OFICIAL
"62",REGIMIENTO DE PATRICIOS AV.,"1510",-58.3685911,-34.6440004,"4",LA BOCA,"24",V,"70",I,,,,,,,,,24-Villa Del Parque (CABA)|70-Retiro (CABA),OFICIAL
"63",CORDOBA AV.,"1565",-58.3891283,-34.5993257,"2",RECOLETA,"29",I,"140",I,,,,,,,,,"29-Belgrano (CABA), Nu�ez (CABA), Olivos (Vicente L�pez), Saavedra (CABA)|140-Boulogne (San Isidro)",OFICIAL
"64",CORDOBA AV.,"1521",-58.3885385,-34.5992928,"2",RECOLETA,"132",V,,,,,,,,,,,"132-Balvanera (CABA), Flores (CABA)",OFICIAL
"65",REGIMIENTO DE PATRICIOS AV.,"1170",-58.3690724,-34.6407619,"4",LA BOCA,"24",V,"70",I,,,,,,,,,24-Villa Del Parque (CABA)|70-Retiro (CABA),OFICIAL
"66",REGIMIENTO DE PATRICIOS AV.,"1168",-58.369078,-34.640742,"4",LA BOCA,"33",V,"39",I,,,,,,,,,"33-Belgrano (CABA), Recoleta (CABA), Retiro (CABA)|39-Chacarita (CABA)",OFICIAL
"67",REGIMIENTO DE PATRICIOS AV.,"1130",-58.369121,-34.6404457,"4",LA BOCA,"74",V,,,,,,,,,,,"74-Puerto Madero (CABA), San Nicolas (CABA)",OFICIAL
"68",REGIMIENTO DE PATRICIOS AV.,"1110",-58.3691473,-34.6402749,"4",LA BOCA,"10",V,"93",V,,,,,,,,,"10-Palermo (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"70",CORDOBA AV.,"1419",-58.387335,-34.599232,"2",RECOLETA,"99",V,"109",V,"75",I,,,,,,,"99-Liniers (CABA), Versalles (CABA)|109-Liniers (CABA), Paternal (CABA), Villa Del Parque (CABA), Villa Gral. Mitre (CABA)",OFICIAL
"71",BRANDSEN,"1195",-58.3695499,-34.6373154,"4",LA BOCA,"25",I,,,,,,,,,,,25-Villa Raffo (Tres de Febrero),OFICIAL
"72",REGIMIENTO DE PATRICIOS AV.,"716",-58.369694,-34.6367324,"4",LA BOCA,"22",V,"46",I,,,,,,,,,22-Retiro (CABA)|46-San Justo (La Matanza),OFICIAL
"73",REGIMIENTO DE PATRICIOS AV.,"696",-58.3697558,-34.6363464,"4",LA BOCA,"10",V,"70",I,,,,,,,,,10-Palermo (CABA)|70-Retiro (CABA),OFICIAL
"74",REGIMIENTO DE PATRICIOS AV.,"660",-58.3697868,-34.6361463,"4",LA BOCA,"74",V,"93",V,,,,,,,,,"74-Puerto Madero (CABA), San Nicolas (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"75",REGIMIENTO DE PATRICIOS AV.,"620",-58.3698437,-34.6357791,"4",LA BOCA,"24",V,"39",I,,,,,,,,,24-Villa Del Parque (CABA)|39-Chacarita (CABA),OFICIAL
"76",REGIMIENTO DE PATRICIOS AV.,"362",-58.3702192,-34.6332533,"4",LA BOCA,"10",V,"70",I,,,,,,,,,10-Palermo (CABA)|70-Retiro (CABA),OFICIAL
"77",REGIMIENTO DE PATRICIOS AV.,"376",-58.3702377,-34.6331008,"4",LA BOCA,"39",I,"93",V,,,,,,,,,"39-Chacarita (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"78",REGIMIENTO DE PATRICIOS AV.,"322",-58.3702563,-34.6329536,"4",LA BOCA,"24",V,"74",V,,,,,,,,,"24-Villa Del Parque (CABA)|74-Puerto Madero (CABA), San Nicolas (CABA)",OFICIAL
"79",REGIMIENTO DE PATRICIOS AV.,"314",-58.3702581,-34.6329363,"4",LA BOCA,"22",V,"46",I,,,,,,,,,22-Retiro (CABA)|46-San Justo (La Matanza),OFICIAL
"81",REGIMIENTO DE PATRICIOS AV.,"72",-58.3705018,-34.6303429,"4",LA BOCA,"39",I,"93",V,,,,,,,,,"39-Chacarita (CABA)|93-Munro (Vicente L�pez), Villa Urquiza (CABA)",OFICIAL
"83",REGIMIENTO DE PATRICIOS AV.,"52",-58.3705232,-34.6300972,"4",LA BOCA,"10",V,"24",,"70",I,,,,,,,10-Palermo (CABA)|24-Villa Del Parque (CABA)|70-Retiro (CABA),OFICIAL
"84",REGIMIENTO DE PATRICIOS AV.,"38",-58.3705361,-34.629949,"4",LA BOCA,"22",V,"46",I,"74",,,,,,,,22-Retiro (CABA)|46-San Justo (La Matanza),OFICIAL
"85",SANTIAGO DEL ESTERO,"1997",-58.3841698,-34.630814,"1",CONSTITUCION,"134",V,,,,,,,,,,,134-Villa Devoto (CABA),OFICIAL
"86",SANTIAGO DEL ESTERO,"1897",-58.3842547,-34.6297431,"1",CONSTITUCION,"65",I,"95",I,,,,,,,,,"65-Barracas (CABA), Constitucion (CABA)|95-Avellaneda (Avellaneda)",OFICIAL
"87",SANTIAGO DEL ESTERO,"1699",-58.3843888,-34.6280066,"1",CONSTITUCION,"65",I,"95",I,,,,,,,,,"65-Barracas (CABA), Constitucion (CABA)|95-Avellaneda (Avellaneda)",OFICIAL
"88",SANTIAGO DEL ESTERO,"1591",-58.3844005,-34.626803,"1",CONSTITUCION,"60",V,,,,,,,,,,,"60-Barracas (CABA), Monserrat (CABA), Nu�ez (CABA), Palermo (CABA)",OFICIAL
"89",SANTIAGO DEL ESTERO,"1185",-58.3844242,-34.6219832,"1",CONSTITUCION,"60",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|60-Barracas (CABA), Monserrat (CABA), Nu�ez (CABA), Palermo (CABA)",OFICIAL
"90",SANTIAGO DEL ESTERO,"1177",-58.3844203,-34.6218892,"1",CONSTITUCION,"96",V,,,,,,,,,,,"96-Caballito (CABA), Constitucion (CABA), Liniers (CABA)",OFICIAL
"91",CORDOBA AV.,"1249",-58.3847317,-34.5991089,"1",RETIRO,"140",I,,,,,,,,,,,140-Boulogne (San Isidro),OFICIAL
"92",CORDOBA AV.,"1239",-58.3846233,-34.5991038,"1",RETIRO,"132",V,,,,,,,,,,,"132-Balvanera (CABA), Flores (CABA)",OFICIAL
"93",CORDOBA AV.,"1171",-58.3837359,-34.5990626,"1",RETIRO,"5",V,"26",I,,,,,,,,,"5-Velez Sarsfield (CABA), Villa Lugano (CABA)|26-Flores (CABA)",OFICIAL
"94",SANTIAGO DEL ESTERO,"781",-58.3843688,-34.6176061,"1",MONSERRAT,"60",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|60-Barracas (CABA), Monserrat (CABA), Nu�ez (CABA), Palermo (CABA)",OFICIAL
"95",CORDOBA AV.,"1147",-58.3832169,-34.5990385,"1",RETIRO,"109",V,,,,,,,,,,,"109-Liniers (CABA), Paternal (CABA), Villa Del Parque (CABA), Villa Gral. Mitre (CABA)",OFICIAL
"96",CABILDO AV.,"5000",-58.4760074,-34.5391323,"12",SAAVEDRA,"19",V,"130",V,,,,,,,,,19-Balvanera (CABA)|130-Boca (CABA),OFICIAL
"97",CABILDO AV.,"5070",-58.4760952,-34.5389417,"12",SAAVEDRA,"59",V,"71",,"151",,"152",V,,,,,"59-Barracas (CABA)|71-Balvanera (CABA)|151-Barracas (CABA), Constitucion (CABA)|152-Boca (CABA)",OFICIAL
"98",CORDOBA AV.,"975",-58.3807914,-34.5989289,"1",RETIRO,"140",I,,,,,,,,,,,140-Boulogne (San Isidro),OFICIAL
"99",CABILDO AV.,"5000",-58.4758293,-34.5390321,"12",SAAVEDRA,"59",V,"184",V,,,,,,,,,59-Barracas (CABA)|184-Chacarita (CABA),OFICIAL
"100",CORDOBA AV.,"953",-58.380554,-34.5989198,"1",RETIRO,"115",I,,,,,,,,,,,"115-Balvanera (CABA), Villa Lugano (CABA), Villa Riachuelo (CABA)",OFICIAL
"101",SANTIAGO DEL ESTERO,"377",-58.3847184,-34.6130914,"1",MONSERRAT,"60",V,,,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|60-Barracas (CABA), Monserrat (CABA), Nu�ez (CABA), Palermo (CABA)",OFICIAL
"102",CORDOBA AV.,"937",-58.3803951,-34.5989137,"1",RETIRO,"109",V,"99",V,,,,,,,,,"109-Liniers (CABA), Paternal (CABA), Villa Del Parque (CABA), Villa Gral. Mitre (CABA)|99-Liniers (CABA), Versalles (CABA)",OFICIAL
"103",CORDOBA AV.,"923",-58.3800055,-34.5988988,"1",RETIRO,"132",V,,,,,,,,,,,"132-Balvanera (CABA), Flores (CABA)",OFICIAL
"104",SANTIAGO DEL ESTERO,"345",-58.3847569,-34.6126928,"1",MONSERRAT,"98",I,,,,,,,,,,,"98-Quilmes (Quilmes), Villa Espa�a (Berazategui), Wilde (Avellaneda)",OFICIAL
"105",CABILDO AV.,"4994",-58.4753583,-34.5397638,"12",SAAVEDRA,"68",V,"133",V,,,,,,,,,"68-Balvanera (CABA)|133-Barracas (CABA), Constitucion (CABA)",OFICIAL
"106",CORDOBA AV.,"883",-58.3795494,-34.5988796,"1",RETIRO,"5",V,,,,,,,,,,,"5-Velez Sarsfield (CABA), Villa Lugano (CABA)",OFICIAL
"107",CORDOBA AV.,"827",-58.3787266,-34.5988444,"1",RETIRO,"26",I,,,,,,,,,,,26-Flores (CABA),OFICIAL
"109",SANTIAGO DEL ESTERO,"177",-58.3848583,-34.6108276,"1",MONSERRAT,"60",V,"98",I,,,,,,,,,"60-Barracas (CABA), Monserrat (CABA), Nu�ez (CABA), Palermo (CABA)|98-Quilmes (Quilmes), Villa Espa�a (Berazategui), Wilde (Avellaneda)",OFICIAL
"110",CORDOBA AV.,"729",-58.377383,-34.5987619,"1",RETIRO,"9",I,"45",I,,,,,,,,,"9-Lan�s Oeste (Lan�s)|45-Constitucion (CABA), Lan�s Oeste (Lan�s), Remedios de Escalada (Lan�s), Retiro (CABA)",OFICIAL
"111",CORDOBA AV.,"657",-58.3761272,-34.5986727,"1",RETIRO,"115",I,,,,,,,,,,,"115-Balvanera (CABA), Villa Lugano (CABA), Villa Riachuelo (CABA)",OFICIAL
"112",CORDOBA AV.,"637",-58.3758765,-34.5986551,"1",RETIRO,"132",V,,,,,,,,,,,"132-Balvanera (CABA), Flores (CABA)",OFICIAL
"113",CABILDO AV.,"4995",-58.4752184,-34.5396533,"12",SAAVEDRA,"21",I,"60",I,"168",,,,,,,,"21-El Talar (Tigre), El Triángulo (Malvinas Argentinas), El Triángulo (Tigre), Florida Oeste (Vicente López), Florida (Vicente López), Olivos (Vicente López), Ricardo Rojas (Malvinas Argentinas), Ricardo Rojas (Tigre), Tigre (Tigre)|60-Bel",OFICIAL
"115",CORDOBA AV.,"545",-58.3749277,-34.5986154,"1",RETIRO,"140",I,,,,,,,,,,,140-Boulogne (San Isidro),OFICIAL
"116",CABILDO AV.,"4995",-58.4753779,-34.5394398,"12",SAAVEDRA,"19",I,"71",,"161",,,,,,,,"19-Villa Adelina (Vicente L�pez)|71-Villa Adelina (San Isidro), Villa Adelina (Vicente L�pez)|161-Ciudadela (La Matanza), Ciudadela (Tres de Febrero), Liniers (CABA), Ramos Mejia (La Matanza), Ramos Mejia (Tres de Febrero)",OFICIAL
"118",CORDOBA AV.,"547",-58.3750693,-34.5986253,"1",RETIRO,"99",V,"109",V,,,,,,,,,"99-Liniers (CABA), Versalles (CABA)|109-Liniers (CABA), Paternal (CABA), Villa Del Parque (CABA), Villa Gral. Mitre (CABA)",OFICIAL
"119",CABILDO AV.,"4999",-58.4756879,-34.5389588,"13",NU�EZ,"59",I,"184",I,,,,,,,,,"59-Munro (Vicente L�pez), Vicente L�pez (Vicente L�pez)|184-Villa Adelina (Vicente L�pez)",OFICIAL
"120",CORDOBA AV.,"461",-58.3736505,-34.5985002,"1",RETIRO,"45",I,,,,,,,,,,,"45-Constitucion (CABA), Lan�s Oeste (Lan�s), Remedios de Escalada (Lan�s), Retiro (CABA)",OFICIAL
"121",CABILDO AV.,"5091",-58.47584,-34.5387075,"13",NU�EZ,"130",I,"152",I,,,,,,,,,"130-Boulogne (San Isidro), Nu�ez (CABA), Saavedra (CABA)|152-Olivos (Vicente L�pez)",OFICIAL
"122",CORDOBA AV.,"461",-58.3735169,-34.5984901,"1",RETIRO,"9",I,,,,,,,,,,,9-Lan�s Oeste (Lan�s),OFICIAL
"123",CORDOBA AV.,"433",-58.3733707,-34.5984753,"1",RETIRO,"26",I,,,,,,,,,,,26-Flores (CABA),OFICIAL
"124",CORDOBA AV.,"421",-58.3730987,-34.5984547,"1",RETIRO,"5",V,,,,,,,,,,,"5-Velez Sarsfield (CABA), Villa Lugano (CABA)",OFICIAL
"125",SALTA,"326",-58.3832571,-34.6123174,"1",MONSERRAT,"98",,,,,,,,,,,,"39-Chacarita (CABA)|60-Bel�n de Escobar (Escobar), Rinc�n de Milberg (Tigre), San Isidro (San Isidro)|98-Balvanera (CABA)",OFICIAL
"126",CABILDO AV.,"4760",-58.474261,-34.5410238,"12",SAAVEDRA,"133",V,"184",V,,,,,,,,,"133-Barracas (CABA), Constitucion (CABA)|184-Chacarita (CABA)",OFICIAL
"128",CABILDO AV.,"4660",-58.4736736,-34.5417732,"12",SAAVEDRA,"68",V,"152",V,,,,,,,,,68-Balvanera (CABA)|152-Boca (CABA),OFICIAL
"129",SALTA,"544",-58.3830397,-34.6148069,"1",MONSERRAT,"98",V,"2",I,,,,,,,,,"98-Balvanera (CABA)|2-Boca (CABA), Monserrat (CABA)",OFICIAL
"130",SALTA,"728",-58.3829976,-34.6170904,"1",MONSERRAT,"98",V,"2",I,,,,,,,,,"98-Balvanera (CABA)|2-Boca (CABA), Monserrat (CABA)",OFICIAL
"132",SALTA,"930",-58.382929,-34.6189322,"1",CONSTITUCION,"96",I,"98",V,,,,,,,,,"96-Gonz�lez Cat�n (La Matanza), Gregorio de Laferrere (La Matanza), Pontevedra (Merlo), Rafael Castillo (La Matanza), San Justo (La Matanza), Virrey Del Pino (La Matanza)|98-Balvanera (CABA)",OFICIAL
"133",CABILDO AV.,"4360",-58.4719393,-34.5441514,"12",SAAVEDRA,"133",V,"184",V,,,,,,,,,"133-Barracas (CABA), Constitucion (CABA)|184-Chacarita (CABA)",OFICIAL
"135",VIAMONTE,"610",-58.3755665,-34.5999174,"1",SAN NICOLAS,"23",I,,,,,,,,,,,23-Retiro (CABA),OFICIAL
"136",VIAMONTE,"410",-58.3730289,-34.5997515,"1",SAN NICOLAS,"23",I,"99",I,,,,,,,,,23-Retiro (CABA),OFICIAL
"137",VIAMONTE,"910",-58.3798005,-34.6001768,"1",SAN NICOLAS,"23",I,,,,,,,,,,,23-Retiro (CABA),OFICIAL
"138",VIAMONTE,"920",-58.37993,-34.6001799,"1",SAN NICOLAS,"99",,,,,,,,,,,,115-Retiro (CABA),OFICIAL
"139",SALTA,"1110",-58.382925,-34.6211559,"1",CONSTITUCION,"96",I,"98",V,,,,,,,,,"96-Gonz�lez Cat�n (La Matanza), Gregorio de Laferrere (La Matanza), Pontevedra (Merlo), Rafael Castillo (La Matanza), San Justo (La Matanza), Virrey Del Pino (La Matanza)|98-Balvanera (CABA)",OFICIAL
"141",CABILDO AV.,"4189",-58.4707748,-34.545462,"13",NU�EZ,"168",I,"184",I,,,,,,,,,"168-Palermo (CABA), San Isidro (San Isidro), Vicente L�pez (Vicente L�pez), Villa Crespo (CABA)|184-Villa Adelina (Vicente L�pez)",OFICIAL
"142",SALTA,"1340",-58.3828959,-34.6240683,"1",CONSTITUCION,"96",I,,,,,,,,,,,"96-Gonz�lez Cat�n (La Matanza), Gregorio de Laferrere (La Matanza), Pontevedra (Merlo), Rafael Castillo (La Matanza), San Justo (La Matanza), Virrey Del Pino (La Matanza)",OFICIAL
"143",SALTA,"1356",-58.3828906,-34.6242048,"1",CONSTITUCION,"39",I,"98",V,,,,,,,,,39-Chacarita (CABA)|98-Balvanera (CABA),OFICIAL
"144",SALTA,"1392",-58.3828782,-34.6245289,"1",CONSTITUCION,"60",I,,,,,,,,,,,"60-Bel�n de Escobar (Escobar), Rinc�n de Milberg (Tigre), San Isidro (San Isidro)",OFICIAL
"145",CABILDO AV.,"3850",-58.4692464,-34.5478402,"12",SAAVEDRA,"68",,"133",V,"152",V,,,,,,,"68-Balvanera (CABA)|133-Barracas (CABA), Constitucion (CABA)|152-Boca (CABA)",OFICIAL
"146",SALTA,"1636",-58.3827831,-34.6273959,"1",CONSTITUCION,"79",I,,,,,,,,,,,79-Constitucion (CABA),OFICIAL
"147",CABILDO AV.,"3723",-58.4681995,-34.5487015,"13",NU�EZ,"57",I,"194",I,,,,,,,,,"57-Mariano Moreno (Moreno), Pilar (Pilar), Trujui (Moreno)|194-Bel�n de Escobar (Escobar), Matheu (Escobar)",OFICIAL
"153",CABILDO AV.,"3554",-58.4671615,-34.5504579,"13",NU�EZ,"133",V,"184",V,,,,,,,,,"133-Barracas (CABA), Constitucion (CABA)|184-Chacarita (CABA)",OFICIAL
