id,pos
190,"-34.549148,-58.454432"
191,"-34.548869,-58.454733"
192,"-34.548633,-58.455033"
193,"-34.548569,-58.455141"
194,"-34.54844,-58.455334"
195,"-34.548032,-58.455763"
196,"-34.54739,-58.456539"
197,"-34.546744,-58.457323"
198,"-34.546081,-58.458127"
199,"-34.545372,-58.458982"
200,"-34.544706,-58.459797"
201,"-34.543934,-58.460677"
202,"-34.543312,-58.46132"
203,"-34.542689,-58.462029"
204,"-34.542089,-58.462629"
205,"-34.541531,-58.463187"
206,"-34.541337,-58.46338"
207,"-34.540694,-58.463831"
208,"-34.539857,-58.464389"
209,"-34.539042,-58.464861"
210,"-34.539557,-58.465848"
211,"-34.540029,-58.466792"
212,"-34.540071,-58.466856"
213,"-34.540522,-58.467736"
214,"-34.540994,-58.468659"
215,"-34.541466,-58.469603"
216,"-34.541938,-58.470526"
217,"-34.542419,-58.471469"
218,"-34.542975,-58.472612"
219,"-34.54301,-58.472707"
220,"-34.542939,-58.472753"
221,"-34.542395,-58.473155"
222,"-34.5423,-58.473192"
223,"-34.542183,-58.473269"
224,"-34.541526,-58.473755"
225,"-34.541475,-58.473744"
226,"-34.540944,-58.474167"
227,"-34.54083,-58.474247"
228,"-34.540774,-58.474321"
229,"-34.540649,-58.474455"
230,"-34.540512,-58.47456"
231,"-34.540211,-58.474791"
232,"-34.540049,-58.474957"
233,"-34.539938,-58.475064"
234,"-34.539455,-58.475446"
235,"-34.539406,-58.475525"
236,"-34.538076,-58.476298"
237,"-34.537029,-58.476821"
238,"-34.536402,-58.477135"
239,"-34.535415,-58.477628"
240,"-34.534471,-58.478122"
241,"-34.533591,-58.478551"
242,"-34.533055,-58.47883"
243,"-34.53254,-58.479087"
244,"-34.531596,-58.479581"
245,"-34.53063,-58.480031"
246,"-34.529665,-58.480589"
247,"-34.528935,-58.481019"
248,"-34.528506,-58.481233"
249,"-34.527862,-58.481576"
250,"-34.526875,-58.482113"
251,"-34.52666,-58.482242"
252,"-34.525909,-58.482649"
253,"-34.525738,-58.482735"
254,"-34.52503,-58.483143"
255,"-34.524815,-58.483272"
256,"-34.523914,-58.483765"
257,"-34.52297,-58.484302"
258,"-34.52209,-58.484752"
259,"-34.52091,-58.485289"
260,"-34.521618,-58.486705"
261,"-34.522111,-58.487842"
262,"-34.522412,-58.488443"
263,"-34.522755,-58.489087"
264,"-34.52312,-58.489838"
265,"-34.523592,-58.49076"
266,"-34.523656,-58.490889"
267,"-34.524193,-58.49194"
268,"-34.524386,-58.492284"
269,"-34.524815,-58.493121"
270,"-34.525073,-58.4937"
271,"-34.525266,-58.494086"
272,"-34.525437,-58.494451"
273,"-34.525952,-58.49546"
274,"-34.526532,-58.496683"
275,"-34.527133,-58.497863"
276,"-34.52769,-58.499"
277,"-34.52827,-58.500202"
278,"-34.528871,-58.501425"
279,"-34.52945,-58.502648"
280,"-34.530029,-58.503807"
281,"-34.530609,-58.504965"
282,"-34.530909,-58.50563"
283,"-34.531167,-58.506188"
284,"-34.531746,-58.50739"
285,"-34.532304,-58.50857"
286,"-34.533076,-58.510137"
287,"-34.53269,-58.510952"
288,"-34.532304,-58.51181"
289,"-34.531939,-58.512669"
290,"-34.531553,-58.513484"
291,"-34.530652,-58.514793"
292,"-34.53018,-58.515501"
293,"-34.529922,-58.515909"
294,"-34.529686,-58.516166"
295,"-34.52915,-58.516617"
296,"-34.528913,-58.516788"
297,"-34.52857,-58.517046"
298,"-34.528184,-58.517303"
299,"-34.527905,-58.517518"
300,"-34.527296,-58.517968"
301,"-34.527868,-58.519104"
302,"-34.528401,-58.520163"
303,"-34.528699,-58.520672"
304,"-34.528978,-58.521252"
305,"-34.529493,-58.522303"
306,"-34.530014,-58.523329"
307,"-34.530652,-58.524621"
308,"-34.530802,-58.524899"
309,"-34.531231,-58.525758"
310,"-34.531617,-58.526573"
311,"-34.532132,-58.527646"
312,"-34.532561,-58.528547"
313,"-34.532647,-58.528719"
314,"-34.533162,-58.529727"
315,"-34.533677,-58.530779"
316,"-34.533827,-58.531659"
317,"-34.534364,-58.533118"
318,"-34.534621,-58.533912"
319,"-34.535007,-58.534877"
320,"-34.535308,-58.535607"
321,"-34.535394,-58.535843"
322,"-34.535716,-58.536787"
323,"-34.536188,-58.538032"
324,"-34.53651,-58.538868"
325,"-34.536831,-58.539727"
326,"-34.537046,-58.540349"
327,"-34.536231,-58.5408"
328,"-34.535501,-58.541186"
329,"-34.53475,-58.542044"
330,"-34.53445,-58.54243"
331,"-34.534085,-58.54286"
332,"-34.53357,-58.543482"
333,"-34.533055,-58.544061"
334,"-34.532454,-58.544726"
335,"-34.532325,-58.544877"
336,"-34.531789,-58.54552"
337,"-34.530137,-58.54743"
338,"-34.529128,-58.548589"
339,"-34.528291,-58.549597"
340,"-34.527433,-58.550563"
341,"-34.526575,-58.551528"
342,"-34.525738,-58.552516"
343,"-34.524815,-58.553503"
344,"-34.523978,-58.554554"
345,"-34.523699,-58.554919"
346,"-34.523013,-58.55567"
347,"-34.522154,-58.5567"
348,"-34.522026,-58.55685"
349,"-34.521532,-58.557365"
350,"-34.521232,-58.55773"
351,"-34.52106,-58.557944"
352,"-34.520502,-58.558609"
353,"-34.519751,-58.559489"
354,"-34.519429,-58.55979"
355,"-34.519,-58.560262"
356,"-34.518292,-58.561206"
357,"-34.517519,-58.562129"
358,"-34.516618,-58.563159"
359,"-34.51576,-58.564146"
360,"-34.51488,-58.565133"
361,"-34.514022,-58.566184"
362,"-34.513142,-58.567193"
363,"-34.512521,-58.566349"
364,"-34.511868,-58.565557"
365,"-34.511209,-58.564712"
366,"-34.510046,-58.566047"
367,"-34.509172,-58.565068"
368,"-34.508679,-58.565798"
369,"-34.508529,-58.565969"
370,"-34.508958,-58.566163"
371,"-34.509516,-58.566806"
372,"-34.510138,-58.5676"
373,"-34.51076,-58.568394"
374,"-34.511383,-58.569167"
375,"-34.512305,-58.56818"
376,"-34.512624,-58.567803"
377,"-34.512777,-58.567622"
378,"-34.517831,-58.561756"
379,"-34.530252,-58.547296"
380,"-34.536188,-58.53801"
381,"-34.534621,-58.53389"
382,"-34.534149,-58.532535"
383,"-34.532031,-58.524202"
384,"-34.532844,-58.522581"
385,"-34.532401,-58.521649"
386,"-34.531875,-58.520586"
387,"-34.53136,-58.519514"
388,"-34.531048,-58.518903"
389,"-34.530808,-58.518396"
390,"-34.530308,-58.517368"
391,"-34.533827,-58.509729"
392,"-34.534149,-58.509536"
393,"-34.534535,-58.509343"
394,"-34.534621,-58.509321"
395,"-34.535093,-58.509064"
396,"-34.535286,-58.508935"
397,"-34.536037,-58.508506"
398,"-34.535737,-58.507884"
399,"-34.535136,-58.506618"
400,"-34.534535,-58.505416"
401,"-34.533956,-58.504236"
402,"-34.533677,-58.503699"
403,"-34.533498,-58.503316"
404,"-34.533377,-58.503056"
405,"-34.532819,-58.501854"
406,"-34.532218,-58.500674"
407,"-34.53166,-58.499472"
408,"-34.531081,-58.498292"
409,"-34.530501,-58.49709"
410,"-34.529901,-58.495932"
411,"-34.529471,-58.495095"
412,"-34.528849,-58.493764"
413,"-34.528742,-58.49355"
414,"-34.528162,-58.49237"
415,"-34.527562,-58.491189"
416,"-34.526982,-58.490009"
417,"-34.526403,-58.488829"
418,"-34.526103,-58.488228"
419,"-34.525824,-58.487649"
420,"-34.525523,-58.48707"
421,"-34.525244,-58.486447"
422,"-34.524643,-58.485246"
423,"-34.538376,-58.47625"
424,"-34.538611,-58.476152"
425,"-34.53872,-58.476147"
426,"-34.538947,-58.476036"
427,"-34.539509,-58.475719"
428,"-34.540158,-58.475395"
429,"-34.54093,-58.475053"
430,"-34.541359,-58.474839"
431,"-34.541803,-58.474598"
432,"-34.542666,-58.474201"
433,"-34.543397,-58.473873"
434,"-34.543299,-58.473566"
435,"-34.543034,-58.472765"
436,"-34.557645,-58.446901"
437,"-34.5612930019997,-58.4437531578852"
438,"-34.5617227512235,-58.4433144555526"
439,"-34.5620551353888,-58.4428470286623"
440,"-34.562466978395,-58.4407713995986"
441,"-34.5629176182061,-58.4382667674035"
442,"-34.5631451763888,-58.437526270694"
443,"-34.563484648432,-58.4367529459188"
444,"-34.5637659252677,-58.4363310306653"
445,"-34.5653879301507,-58.4336163734588"
446,"-34.566728658198,-58.4313034870111"
447,"-34.569659309155,-58.4264419489165"
448,"-34.5705307450811,-58.4249437953723"
449,"-34.5706575807895,-58.4245259836269"
450,"-34.570863,-58.424113"
451,"-34.571207,-58.423212"
452,"-34.571786,-58.421752"
453,"-34.572387,-58.420508"
454,"-34.572601,-58.419993"
455,"-34.573009,-58.419178"
456,"-34.573567,-58.417933"
457,"-34.574146,-58.416581"
458,"-34.574468,-58.416195"
459,"-34.575005,-58.415401"
460,"-34.575112,-58.415337"
461,"-34.575219,-58.415186"
462,"-34.575241,-58.415058"
463,"-34.575262,-58.414865"
464,"-34.575284,-58.414629"
465,"-34.575455,-58.41392"
466,"-34.575777,-58.413148"
467,"-34.576421,-58.411796"
468,"-34.576807,-58.410981"
469,"-34.577193,-58.409994"
470,"-34.577816,-58.408599"
471,"-34.578116,-58.407934"
472,"-34.578652,-58.406882"
473,"-34.57921,-58.406281"
474,"-34.579554,-58.405874"
475,"-34.579833,-58.405552"
476,"-34.580511,-58.404614"
477,"-34.58105,-58.403965"
478,"-34.581376,-58.403498"
479,"-34.581721,-58.402506"
480,"-34.582064,-58.401561"
481,"-34.582493,-58.400252"
482,"-34.582772,-58.399329"
483,"-34.583116,-58.397291"
484,"-34.58333,-58.396325"
485,"-34.583416,-58.396003"
486,"-34.583588,-58.39536"
487,"-34.58406,-58.393922"
488,"-34.584575,-58.392377"
489,"-34.584725,-58.391755"
490,"-34.584961,-58.391025"
491,"-34.585047,-58.390167"
492,"-34.584982,-58.389781"
493,"-34.585024,-58.389488"
494,"-34.585304,-58.388729"
495,"-34.590492,-58.378789"
496,"-34.593627,-58.373919"
497,"-34.593652,-58.37387"
498,"-34.593687,-58.373805"
499,"-34.594063,-58.373435"
500,"-34.594341,-58.373248"
501,"-34.594472,-58.373173"
502,"-34.594896,-58.372947"
503,"-34.596053,-58.372393"
504,"-34.596142,-58.372353"
505,"-34.596539,-58.372156"
506,"-34.596932,-58.371988"
507,"-34.59716,-58.371854"
508,"-34.597233,-58.371807"
509,"-34.59802,-58.371386"
510,"-34.598265,-58.371243"
511,"-34.598394,-58.371191"
512,"-34.598521,-58.371133"
513,"-34.599591,-58.370847"
514,"-34.600665,-58.370594"
515,"-34.600723,-58.370571"
516,"-34.600819,-58.370531"
517,"-34.601941,-58.37039"
518,"-34.602902,-58.370285"
519,"-34.603029,-58.37029"
520,"-34.603146,-58.370306"
521,"-34.604265,-58.370217"
522,"-34.604396,-58.370233"
523,"-34.605263,-58.370149"
524,"-34.605367,-58.370142"
525,"-34.605803,-58.370074"
526,"-34.605878,-58.370051"
527,"-34.60596,-58.370015"
528,"-34.606067,-58.369931"
529,"-34.606197,-58.369808"
530,"-34.606274,-58.36969"
531,"-34.606367,-58.369547"
532,"-34.606455,-58.369375"
533,"-34.606507,-58.369267"
534,"-34.606559,-58.369156"
535,"-34.606592,-58.369113"
536,"-34.606673,-58.36901"
537,"-34.60679,-58.368864"
538,"-34.606879,-58.368781"
539,"-34.606954,-58.36871"
540,"-34.607028,-58.368658"
541,"-34.607085,-58.368619"
542,"-34.607172,-58.368557"
543,"-34.607284,-58.368525"
544,"-34.607378,-58.368499"
545,"-34.607472,-58.36848"
546,"-34.60757,-58.368461"
547,"-34.607711,-58.368446"
548,"-34.607842,-58.36843"
549,"-34.607985,-58.368434"
550,"-34.608136,-58.368438"
551,"-34.608241,-58.368465"
552,"-34.608345,-58.368492"
553,"-34.608457,-58.368542"
554,"-34.608578,-58.368595"
555,"-34.608661,-58.368658"
556,"-34.608736,-58.368714"
557,"-34.608808,-58.36878"
558,"-34.608879,-58.368845"
559,"-34.60894,-58.368916"
560,"-34.609021,-58.369014"
561,"-34.609094,-58.369116"
562,"-34.609191,-58.369248"
563,"-34.609236,-58.369305"
564,"-34.609272,-58.369338"
565,"-34.609316,-58.369378"
566,"-34.609374,-58.369432"
567,"-34.609433,-58.369465"
568,"-34.609516,-58.369491"
569,"-34.609607,-58.3695"
570,"-34.609952,-58.369484"
571,"-34.610725,-58.369463"
572,"-34.611174,-58.369458"
573,"-34.612319,-58.369411"
574,"-34.613599,-58.369325"
575,"-34.6148,-58.369257"
576,"-34.615818,-58.369193"
577,"-34.616986,-58.369252"
578,"-34.617115,-58.369336"
579,"-34.617148,-58.369364"
580,"-34.617448,-58.369417"
581,"-34.61777,-58.369567"
582,"-34.618392,-58.36931"
583,"-34.619207,-58.369009"
584,"-34.620173,-58.368602"
585,"-34.625216,-58.36798"
586,"-34.625108,-58.363881"
587,"-34.625087,-58.363044"
588,"-34.624937,-58.362293"
589,"-34.624996,-58.361498"
590,"-34.625001,-58.361435"
591,"-34.625323,-58.360877"
592,"-34.625486,-58.360643"
593,"-34.625816,-58.360169"
594,"-34.62631,-58.359375"
595,"-34.626889,-58.358517"
596,"-34.627619,-58.463187"
597,"-34.628842,-58.462715"
598,"-34.628971,-58.463252"
599,"-34.629087,-58.463536"
600,"-34.62914,-58.463761"
601,"-34.629237,-58.464096"
602,"-34.629661,-58.465501"
603,"-34.629981,-58.466787"
604,"-34.629936,-58.466883"
605,"-34.629919,-58.466926"
606,"-34.630063,-58.467484"
607,"-34.63028,-58.468339"
608,"-34.630589,-58.469502"
609,"-34.630686,-58.469636"
610,"-34.631116,-58.471191"
611,"-34.63146,-58.472371"
612,"-34.63176,-58.473487"
613,"-34.632061,-58.474603"
614,"-34.632339,-58.475654"
615,"-34.632618,-58.476727"
616,"-34.632876,-58.477821"
617,"-34.633133,-58.478916"
618,"-34.633477,-58.480353"
619,"-34.633799,-58.481705"
620,"-34.633949,-58.482349"
621,"-34.634163,-58.483272"
622,"-34.634399,-58.484173"
623,"-34.63455,-58.484859"
624,"-34.634678,-58.485439"
625,"-34.634979,-58.486683"
626,"-34.635193,-58.487649"
627,"-34.635623,-58.48943"
628,"-34.636974,-58.48913"
629,"-34.636738,-58.488185"
630,"-34.636524,-58.487284"
631,"-34.637816095554,-58.4868880425706"
632,"-34.6391310630882,-58.4864957813749"
633,"-34.64045,-58.486083"
634,"-34.64088,-58.486962"
635,"-34.641287,-58.487799"
636,"-34.641716,-58.488722"
637,"-34.642103,-58.489559"
638,"-34.642403,-58.49016"
639,"-34.642768,-58.490911"
640,"-34.643111,-58.49164"
641,"-34.643412,-58.492284"
642,"-34.644055,-58.493614"
643,"-34.644527,-58.494687"
644,"-34.644763,-58.494902"
645,"-34.644828,-58.494902"
646,"-34.644935,-58.494837"
647,"-34.645386,-58.493164"
648,"-34.645836,-58.491426"
649,"-34.646308,-58.489623"
650,"-34.64678,-58.4881"
651,"-34.647081,-58.48664"
652,"-34.64751,-58.487134"
653,"-34.647939,-58.487649"
654,"-34.64839,-58.488164"
655,"-34.648926,-58.488765"
656,"-34.649463,-58.489387"
657,"-34.650149,-58.490202"
658,"-34.650815,-58.490996"
659,"-34.651458,-58.491769"
660,"-34.652123,-58.492563"
661,"-34.652789,-58.493378"
662,"-34.653454,-58.494151"
663,"-34.654119,-58.494945"
664,"-34.654784,-58.495739"
665,"-34.655449,-58.496532"
666,"-34.656029,-58.497241"
667,"-34.656522,-58.497841"
668,"-34.656866,-58.498249"
669,"-34.657338,-58.498828"
670,"-34.658153,-58.499794"
671,"-34.659328,-58.501189"
672,"-34.660127,-58.50312"
673,"-34.660749,-58.503871"
674,"-34.661415,-58.504643"
675,"-34.661822,-58.50518"
676,"-34.66208,-58.505459"
677,"-34.662745,-58.506274"
678,"-34.663389,-58.507068"
679,"-34.664075,-58.507862"
680,"-34.665256,-58.506424"
681,"-34.666479,-58.504944"
682,"-34.667315,-58.503957"
683,"-34.668088,-58.503013"
684,"-34.668839,-58.50209"
685,"-34.669847,-58.500888"
686,"-34.670856,-58.499687"
687,"-34.672508,-58.498936"
688,"-34.672637,-58.49915"
689,"-34.672959,-58.499751"
690,"-34.673152,-58.500116"
691,"-34.673452,-58.500695"
692,"-34.673989,-58.501704"
693,"-34.674482,-58.502648"
694,"-34.674761,-58.503184"
695,"-34.674976,-58.503592"
696,"-34.675276,-58.504128"
